epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.16074,1.80108,3.21732,1.69983,0.03412,1,0.995,0.65959,1.08625,3.10708,1.18425,8.75e-05,8.75e-05,8.75e-05
2,8.20353,1.32726,2.85637,1.45415,0.03376,1,0.995,0.74881,0.84034,3.00763,1.06382,0.000183787,0.000183787,0.000183787
3,12.2392,1.26526,2.29931,1.34958,0.03326,1,0.995,0.68168,1.04719,2.79811,1.12227,0.000276115,0.000276115,0.000276115
4,16.6177,1.24676,1.50519,1.34604,1,0.99303,0.995,0.72494,0.95145,2.4883,1.11099,0.000364482,0.000364482,0.000364482
5,20.8155,1.17222,1.22607,1.30849,1,0.24667,0.995,0.73936,0.9426,2.40675,1.07131,0.00044889,0.00044889,0.00044889
6,25.115,1.15887,1.12036,1.29319,0.97725,1,0.995,0.78195,0.87836,1.58193,1.04564,0.000529338,0.000529338,0.000529338
7,29.45,1.05341,1.0257,1.25838,0.99673,1,0.995,0.70963,1.08488,0.92149,1.12367,0.000605825,0.000605825,0.000605825
8,33.722,1.13547,1.05044,1.33901,0.98513,1,0.995,0.7034,1.12872,1.19494,1.16501,0.000678352,0.000678352,0.000678352
9,38.1242,1.05021,1.02166,1.27916,0.99666,1,0.995,0.6967,1.11829,1.70522,1.19216,0.00074692,0.00074692,0.00074692
10,42.7304,1.01532,0.99099,1.30372,0.99661,1,0.995,0.749,0.98875,1.36418,1.0962,0.000811528,0.000811528,0.000811528
11,47.2039,1.04375,0.92789,1.28,0.99689,1,0.995,0.7405,0.99341,1.42493,1.09185,0.000872175,0.000872175,0.000872175
12,51.5966,0.99483,0.90138,1.25398,0.99658,1,0.995,0.72309,1.01994,1.61064,1.09357,0.000928863,0.000928863,0.000928863
13,55.8667,0.98684,0.90298,1.21309,0.99601,1,0.995,0.75329,0.90492,1.34134,1.05927,0.000953,0.000953,0.000953
14,60.2492,0.94973,0.92051,1.21615,0.98571,1,0.995,0.77642,0.85887,1.06307,1.04327,0.00092825,0.00092825,0.00092825
15,64.4914,0.93939,0.92488,1.20973,0.96156,1,0.995,0.76894,0.87332,0.93601,1.04665,0.0009035,0.0009035,0.0009035
16,68.7989,0.99967,0.92348,1.25141,0.98339,1,0.995,0.78467,0.854,0.90493,1.04298,0.00087875,0.00087875,0.00087875
17,73.2439,0.9131,0.85938,1.18293,0.99054,1,0.995,0.76287,0.83613,0.86214,1.0394,0.000854,0.000854,0.000854
18,77.6791,1.01316,0.96148,1.25581,0.99172,1,0.995,0.79432,0.81891,0.7695,1.02718,0.00082925,0.00082925,0.00082925
19,82.0748,0.91717,0.84845,1.2336,0.99285,1,0.995,0.7987,0.80704,0.72814,1.00924,0.0008045,0.0008045,0.0008045
20,86.4086,0.86905,0.80645,1.17729,0.99258,1,0.995,0.80471,0.7853,0.77464,0.99348,0.00077975,0.00077975,0.00077975
